Title,Description
The True Love Experiment,"Sparks fly when a romance novelist and a documentary filmmaker join forces to craft the perfect Hollywood love story and take both of their careers to the next level—but only if they can keep the chemistry between them from taking the whole thing off script.\n\nFelicity “Fizzy” Chen is lost. Sure, she’s got an incredible career as a beloved romance novelist with a slew of bestsellers under her belt, but when she’s asked to give a commencement address, it hits her: she hasn’t been practicing what she’s preached.\n\nFizzy hasn’t ever really been in love. Lust? Definitely. But that swoon-worthy, can’t-stop-thinking-about-him, all-encompassing feeling? Nope. Nothing. What happens when the optimism she’s spent her career encouraging in readers starts to feel like a lie?\n\nConnor Prince, documentary filmmaker and single father, loves his work in large part because it allows him to live near his daughter. But when his profit-minded boss orders him to create a reality TV show, putting his job on the line, Connor is out of his element. Desperate to find his romantic lead, a chance run-in with an exasperated Fizzy offers Connor the perfect solution. What if he could show the queen of romance herself falling head-over-heels for all the world to see? Fizzy gives him a hard pass—unless he agrees to her list of demands. When he says yes, and production on The True Love Experiment begins, Connor wonders if that perfect match will ever be in the cue cards for him, too.\n\n The True Love Experiment is the book fans have been waiting for ever since Fizzy’s debut in The Soulmate Equation. But when the lights come on and all eyes are on her, it turns out the happily ever after Fizzy had all but given up on might lie just behind the camera."
The Girl Who Survived,"In this deviously volatile, deliciously creepy thriller from the #1 New York Times bestseller, the lone survivor of a brutal family massacre must uncover the awful truth about the fateful night that left her forever marked…\n\nHas she already had her last chance to be the final girl?\n\nAll her life, she’s been the girl who survived. Orphaned at age seven after a horrific killing spree at her family’s Oregon cabin, Kara McIntyre is still searching for some kind of normal. But now, twenty years later, the past has come thundering back. Her brother, Jonas, who was convicted of the murders has unexpectedly been released from prison. The press is in a frenzy again. And suddenly, Kara is receiving cryptic messages from her big sister, Marlie—who hasn’t been seen or heard from since that deadly Christmas Eve when she hid little Kara in a closet with a haunting, life-saving command: Don’t make a sound.\n\nAs people close to her start to die horrible deaths, Kara, who is slowly and surely unraveling, believes she is the killer’s ultimate target.\n \nKara survived once. But will she survive again? How many times can she be the girl who survived?"
Sooley,"New York Times bestselling author John Grisham takes you to a different kind of court in his first basketball novel. Samuel &quot;Sooley&quot; Sooleymon is a raw, young talent with big hoop dreams...and even bigger challenges off the court.\n\nIn the summer of his seventeenth year, Sam­uel Sooleymon gets the chance of a lifetime: a trip to the United States with his South Sudanese teammates to play in a showcase basket­ball tournament. He has never been away from home, nor has he ever been on an airplane. The opportunity to be scouted by dozens of college coaches is a dream come true. Samuel is an amazing athlete, with speed, quick­ness, and an astonishing vertical leap. The rest of his game, though, needs work, and the American coaches are less than impressed. During the tournament, Samuel receives dev­astating news from home: A civil war is raging across South Sudan, and rebel troops have ran­sacked his village. His father is dead, his sister is missing, and his mother and two younger brothers are in a refugee camp. Samuel desperately wants to go home, but it\'s just not possible. Partly out of sympathy, the coach of North Carolina Central offers him a scholar­ship. Samuel moves to Durham, enrolls in classes, joins the team, and prepares to sit out his freshman season. There is plenty of more mature talent and he isn\'t immediately needed. But Samuel has something no other player has: a fierce determination to succeed so he can bring his family to America. He works tirelessly on his game, shooting baskets every morning at dawn by himself in the gym, and soon he\'s dominating everyone in practice. With the Central team los­ing and suffering injury after injury, Sooley, as he is nicknamed, is called off the bench. And the legend begins. But how far can Sooley take his team? And will success allow him to save his family? Gripping and moving, Sooley showcases John Grisham\'s unparalleled storytelling powers in a whole new light. This is Grisham at the top of his game."
"Divine Rivals (Letters of Enchantment, #1)","When two young rival journalists find love through a magical connection, they must face the depths of hell, in a war among gods, to seal their fate forever.\n\nAfter centuries of sleep, the gods are warring again. But eighteen-year-old Iris Winnow just wants to hold her family together. Her mother is suffering from addiction and her brother is missing from the front lines. Her best bet is to win the columnist promotion at the Oath Gazette.\n\nTo combat her worries, Iris writes letters to her brother and slips them beneath her wardrobe door, where they vanish—into the hands of Roman Kitt, her cold and handsome rival at the paper. When he anonymously writes Iris back, the two of them forge a connection that will follow Iris all the way to the front lines of battle: for her brother, the fate of mankind, and love.\n\nShadow and Bone meets Lore in Rebecca Ross\'s Divine Rivals, an epic enemies-to-lovers fantasy novel filled with hope and heartbreak, and the unparalleled power of love."
Roma soy yo: La verdadera historia de Julio César,"LA NOVELA MÁS VENDIDA DEL AÑO. DESPUÉS DE JULIO CÉSAR, EL MUNDO NUNCA VOLVIÓ A SER EL MISMO. Si alguna vez hubo un hombre nacido para cambiar el curso de la Historia, ese fue Julio César. Su leyenda, veinte siglos después, sigue más viva que nunca. Roma, año 77 a.C. El cruel senador Dolabela va a ser juzgado por corrupción, pero ha contratado a los mejores abogados, ha comprado al jurado y, además, es conocido por usar la violencia contra todos los que se enfrentan a él. Nadie se atreve a ser el fiscal, hasta que de pronto, contra todo pronóstico, un joven patricio de tan solo veintitrés años acepta llevar la acusación, defender al pueblo de Roma y desafiar el poder de las élites. El nombre del desconocido abogado es Cayo Julio César. Combinando con maestría un exhaustivo rigor histórico y una capacidad narrativa extraordinaria, Santiago Posteguillo logra sumergir al lector en el fragor de las batallas, hacerle caminar por las calles más peligrosas mientras los sicarios de los senadores acechan en cualquier esquina, vivir la gran historia de amor de Julio César con Cornelia, su primera esposa, y comprender, en definitiva, cómo fueron los orígenes del hombre tras el mito. Hay personajes que cambian la historia del mundo, pero también hay momentos que cambian la vida de esos personajes. Roma soy yo es el relato de los extraordinarios sucesos que marcaron el destino de César."
Titles Ruin Everything: A Stream of Consciousness,"Aubrey Drake Graham is a cultural phenomenon – a record-breaking musician, style icon, creative entrepreneur, and actor. Graham has been writing and having fun with poetry as a means of personal expression for quite some time.\n\nHis first book, Titles Ruin Everything: A Stream of Consciousness, is a collection of never-before-published poems written together with his long-time friend Kenza Samir. Flowing across 168 pages, the provocative musings translate Graham\'s wit and talent for wordplay into potent stanzas. Together, these meditations on fame, romance, and relationships offer an unfiltered view of the artist’s inner world."
Nineteen Claws and a Black Bird,"A collection of nineteen dark, wildly imaginative short stories from the author of the award-winning TikTok sensation Tender Is the Flesh.From celebrated author Agustina Bazterrica, this collection of nineteen brutal, darkly funny short stories takes into our deepest fears and through our most disturbing fantasies. Through stories about violence, alienation, and dystopia, Bazterrica’s vision of the human experience emerges in complex, unexpected ways—often unsettling, sometimes thrilling, and always profound. In “Roberto,” a girl claims to have a rabbit between her legs. A woman’s neighbor jumps to his death in “A Light, Swift, and Monstrous Sound,” and in “Candy Pink,” a woman fails to contend with a difficult breakup in five easy steps. Written in Bazterrica’s signature clever, vivid style, these stories question love, friendship, family relationships, and unspeakable desires."
Owner of a Lonely Heart: A Memoir,"\n  From the award-winning author of Stealing Buddha’s Dinner, a powerful memoir of a mother-daughter relationship fragmented by war and resettlement.\nAt the end of the Vietnam War, when Beth Nguyen was eight months old, she and her father, sister, grandmother, and uncles fled Saigon for America. Beth’s mother stayed—or was left—behind, and they did not meet again until Beth was nineteen. Over the course of her adult life, she and her mother have spent less than twenty-four hours together. Owner of a Lonely Heart is a memoir about parenthood, absence, and the condition of being a refugee: the story of Beth’s relationship with her mother. Framed by a handful of visits over the course of many years—sometimes brief, sometimes interrupted, sometimes with her mother alone and sometimes with her sister—Beth tells a coming-of-age story that spans her own Midwestern childhood, her first meeting with her mother, and becoming a parent herself. Vivid and illuminating, Owner of a Lonely Heart is a deeply personal story of family, connection, and belonging: as a daughter, a mother, and as a Vietnamese refugee in America."
Holy Ghosts: Classic Tales of the Ecclesiastical Uncanny,"Churches, monasteries and convents have long been associated with sanctuary: sacred spaces should offer protection from evil in all its forms. This new anthology raises questions about the protection offered by faith, bringing together a collection of tales in which holy places are filled with horror; where stone effigies come to life and believers are tormented by terrifying apparitions. In a host of uncanny stories published between 1855 and 1935, Holy Ghosts uncovers sacrilegious spectres and the ecclesiastically eerie. Reincarnating forgotten authors, from Mrs Henry Wood to Ada Buisson, Robert Hichens to M R James; Amelia B Edwards to Vernon Lee, the anthology exhumes stories buried deep in the British Library stacks."
Never Lie,"Newlyweds Tricia and Ethan are searching for the house of their dreams.\n\nBut when they visit the remote manor that once belonged to Dr. Adrienne Hale, a renowned psychiatrist who vanished without a trace four years earlier, a violent winter storm traps them at the estate… with no chance of escape until the blizzard comes to an end.\n\nIn search of a book to keep her entertained until the snow abates, Tricia happens upon a secret room. One that contains audio transcripts from every single patient Dr. Hale has ever interviewed. As Tricia listens to the cassette tapes, she learns about the terrifying chain of events leading up to Dr. Hale’s mysterious disappearance.\n\nTricia plays the tapes one by one, late into the night. With each one, another shocking piece of the puzzle falls into place, and Dr. Adrienne Hale’s web of lies slowly unravels.\n\nAnd then Tricia reaches the final cassette.\n\nThe one that reveals the entire horrifying truth."
The Doll Factory,"The Doll Factory, the debut novel by Elizabeth Macneal, is an intoxicating story of art, obsession and possession.\n\nLondon. 1850. The Great Exhibition is being erected in Hyde Park and among the crowd watching the spectacle two people meet. For Iris, an aspiring artist, it is the encounter of a moment – forgotten seconds later, but for Silas, a collector entranced by the strange and beautiful, that meeting marks a new beginning. \n\nWhen Iris is asked to model for pre-Raphaelite artist Louis Frost, she agrees on the condition that he will also teach her to paint. Suddenly her world begins to expand, to become a place of art and love.\n\nBut Silas has only thought of one thing since their meeting, and his obsession is darkening . . ."
A Very Nice Girl,"A bitingly honest, darkly funny debut about ambition, sex, power, and love, Imogen Crimp\'s A Very Nice Girl cracks open the timeless questions of what it is to be young, what it is to want to be wanted, and what it is to find your calling but lose your way to it.\n\nAnna doesn’t fit in. Not with her wealthy classmates at the selective London Conservatory where she unexpectedly wins a place after university, not with the family she left behind, and definitely not with Max, a man she meets in the bar where she sings for cash. He’s everything she’s not—rich, tailored to precision, impossible to read—and before long Anna is hooked, desperate to hold his attention, and determined to ignore the warning signs that this might be a toxic relationship.\n\nAs Anna shuttles from grueling rehearsals to brutal auditions, she finds herself torn between two conflicting desires: the drive to nurture her fledgling singing career, which requires her undivided attention, and the longing for human connection. When the stakes increase, and the roles she’s playing—both on stage and off—begin to feel all-consuming, Anna must reckon with the fact that, in carefully performing what’s expected of her as a woman, she risks losing sight of herself completely.\n\nBoth exceedingly contemporary and classic, A Very Nice Girl reminds us that even once we have taken possession of our destinies we still have the power to set all we hold dear on fire."
The Bluest Eye,"The Bluest Eye is Toni Morrison\'s first novel, a book heralded for its richness of language and boldness of vision. Set in the author\'s girlhood hometown of Lorain, Ohio, it tells the story of black, eleven-year-old Pecola Breedlove. Pecola prays for her eyes to turn blue so that she will be as beautiful and beloved as all the blond, blue-eyed children in America. In the autumn of 1941, the year the marigolds in the Breedloves\' garden do not bloom. Pecola\'s life does change—in painful, devastating ways. \n\nWhat its vivid evocation of the fear and loneliness at the heart of a child\'s yearning, and the tragedy of its fulfillment. The Bluest Eye remains one of Toni Morrisons\'s most powerful, unforgettable novels- and a significant work of American fiction."
Thrown,"Becky: a single mum who prides herself on her independence. She knows from painful experience that men are trouble.\nLouise: a loving husband, gorgeous kids. She ought to feel more grateful.\nJameela: all she\'s ever done is work hard, and try her best. Why won\'t life give her the one thing she really wants?\nSheila: the nest is empty, she dreams of escaping to the sun, but her husband seems so distracted.\n\nThe inhabitants of the Inventor\'s Housing Estate keep themselves to themselves. There are the friendly \'Hellos\' when commutes coincide and the odd cheeky eye roll when the wine bottles clank in number 7\'s wheelie bin, but it\'s not exactly Ramsay Street.\n\nThe dilapidated community centre is no longer the beating heart of the estate that Becky remembers from her childhood. So the new pottery class she\'s helped set up feels like a fresh start. And not just for her.\n\nThe assorted neighbours come together to try out a new skill, under the watchful eye of their charismatic teacher, Sasha. And as the soft unremarkable lumps of clay are hesitantly, lovingly moulded into delicate vases and majestic pots, so too are the lives of four women. Concealed passions and heartaches are uncovered, relationships shattered and formed, and the possibility for transformation is revealed."
Big Nate: The Gerbil Ate My Homework,"Now an animated series with Paramount+ and Nickelodeon!\n\nMiddle school is back in session and so is the New York Times bestselling series that\'s been brightening the funny papers for almost 30 years! Ready or not, some major laughs are due in  Big The Gerbil Ate My Homework.\nYou’ve got to know where you stand to survive sixth grade, and Nate Wright’s found the perfect right next to Sherman, the class gerbil. Can Nate’s furry friend bail him out of his latest homework jam with Mrs. Godfrey? Or will there be a paper trail leading straight to detention? Nate has no answers, but plenty of ideas—like directing a superhero movie starring the amazing Mega-Chad, inventing a new name for his pal Francis, and living up to his reputation as a P.S. 38 Prank Day legend.\n\nSpecial final exam bonus Does Nate makes it to summer vacation? Find out in this collection of uproarious Big Nate comics! Middle school has never been funnier!\n "
Pink Lemonade Cake Murder: A Delightful &amp; Irresistible Culinary Cozy Mystery with Recipes (A Hannah Swensen Mystery Book 29),"\n  In this irresistible mystery from New York Times and USA Today bestselling author Joanne Fluke, Hannah Swensen is at the center of a lively summer fest with fun for everyone in Lake Eden, Minnesota--including a cold-blooded murderer . . . \n\n\nThe Tri-County Summer Solstice Celebration has come to town, and even among local artisans, athletes, and marching bands, Hannah attracts fans of her own while serving lip-smacking pink lemonade desserts. But the mood sours when a body turns up, leading revelers to wonder if the festivities mark both the longest day of the year and the deadliest . . .\n\nA retired professional MLB player has met a terrifying end--and, considering the rumors swirling about his past, the list of suspects could fill a small stadium. Among them could soon be Delores, Hannah\'s mother, who publicly held a grudge against the victim after he infamously dunked her in the tank at a previous county fair . . .\n\nNow, with her mother\'s innocence on the line, a life-changing announcement at The Cookie Jar, and a plethora of desserts to bake, Hannah can\'t afford to strike out as she begins a dangerous investigation into the ruthless killer who\'s truly in a league of their own . . ."
Regretting You,"Morgan Grant and her sixteen-year-old daughter, Clara, would like nothing more than to be nothing alike.\n\nMorgan is determined to prevent her daughter from making the same mistakes she did. By getting pregnant and married way too young, Morgan put her own dreams on hold. Clara doesn’t want to follow in her mother’s footsteps. Her predictable mother doesn’t have a spontaneous bone in her body.\n\nWith warring personalities and conflicting goals, Morgan and Clara find it increasingly difficult to coexist. The only person who can bring peace to the household is Chris—Morgan’s husband, Clara’s father, and the family anchor. But that peace is shattered when Chris is involved in a tragic and questionable accident. The heartbreaking and long-lasting consequences will reach far beyond just Morgan and Clara.\n\nWhile struggling to rebuild everything that crashed around them, Morgan finds comfort in the last person she expects to, and Clara turns to the one boy she’s been forbidden to see. With each passing day, new secrets, resentment, and misunderstandings make mother and daughter fall further apart. So far apart, it might be impossible for them to ever fall back together."
Star Child: A Biographical Constellation of Octavia Estelle Butler,"From the New York Times bestselling author and National Book Award finalist, a biography in verse and prose of science fiction visionary Octavia Butler.\n\nAcclaimed novelist Ibi Zoboi illuminates the young life of the visionary storyteller Octavia E. Butler in poems and prose. Born into the Space Race, the Red Scare, and the dawning Civil Rights Movement, Butler expereinced an American childhood that shaped her into the groundbreaking science-fiction storyteller whose novels continue to challenge and delight readers fifteen years after her death."
"The Resilience Project: Finding Happiness through Gratitude, Empathy and Mindfulness","Hugh van Cuylenburg was a primary school teacher volunteering in northern India when he had a life-changing realisation- despite the underprivileged community the children were from, they were remarkably positive. By contrast, back in Australia Hugh knew that all too many children struggled with depression, social anxieties and mental illness. His own little sister had been ravaged by anorexia nervosa.\n\nHow was it that young people he knew at home, who had food, shelter, friends and a loving family, struggled with their mental health, while these kids seemed so contented and resilient? He set about finding the answer and in time came to recognise the key traits and behaviours these children possessed were gratitude, empathy and mindfulness.\n\nIn the ensuing years Hugh threw himself into studying and sharing this revelation with the world through The Resilience Project, with his playful and unorthodox presentations which both entertain and inform. Now, with the same blend of humour, poignancy and clear-eyed insight that The Resilience Project has become renowned for, Hugh explains how we can all get the tools we need to live a happier and more fulfilling life."
Five Total Strangers," A hitched ride home in a snow storm turns sinister when one of the passengers is plotting for the ride to end in disaster.\n\nWhen Mira flies home to spend Christmas with her mother in Pittsburgh, a record-breaking blizzard results in a cancelled layover. Desperate to get to her grief-ridden mother in the wake of a family death, Mira hitches a ride with a group of friendly college kids who were on her initial flight.\n\nAs the drive progresses and weather conditions become more treacherous, Mira realizes that the four other passengers she\'s stuck in the car with don\'t actually know one another.\n\nSoon, they\'re not just dealing with heavy snowfall and ice-slick roads, but the fact that somebody will stop at nothing to ensure their trip ends in a deadly disaster."
"Sanctuary with Kings (Tempting Monsters, #3)","Evanthia has spent half her life trapped inside the Seven Veils. When the house crumbles, she seizes her moment and runs from Birsha and his twisted pleasures. But pleasure is what she needs to survive, and the dark streets of London leave her starving and vulnerable.\n\nRescued by a mysterious monster who vows her sanctuary, Evanthia must piece back the woman that Birsha tore apart. Quiet sanctuary is no cure for her endless hunger, but the war brewing on the horizon is the last place she wants to be. Hiding with sleeping dragons and lonely monsters in a castle made from dreams might be a fantasy, but it’s not enough to keep the nightmares at bay.\n\nWhen not even Evanthia’s tired heart can remain dormant in the tender care of the kings who keep her safe, she must make the decision. Hide from her past forever, or face the man she fears most on the battlefield."
A Good House for Children,"Once upon a time Orla was: a woman, a painter, a lover. Now she is a mother and a wife, and when her husband Nick suggests that their city apartment has grown too small for their lives, she agrees, in part because she does agree, and in part because she is too tired to think about what she really does want. She agrees again when Nick announces with pride that he has found an antiquated Georgian house on the Dorset cliffs—a good house for children, he says, tons of space and gorgeous grounds.\n\nBut as the family settles into the mansion—Nick absent all week, commuting to the city for work—Orla finds herself unsettled. She hears voices when no one is around; doors open and close on their own; and her son Sam, who has not spoken in six months, seems to have made an imaginary friend whose motives Orla does not trust.\n\nFour decades earlier, Lydia moves into the same house as a live-in nanny to a grieving family. Lydia, too, becomes aware of intangible presences in the large house, and she, like Orla four decades later, becomes increasingly fearful for the safety of the children in her care. But no one in either woman’s life believes the stories that seem fanciful, the stuff of magic and mayhem, sprung from the imaginations of hysterical women who spend too much time in the company of children.\n\nAre both families careening towards tragedy? Are Orla and Lydia seeing things that aren’t there? What secrets is the house hiding?\n\nA feminist gothic tale perfectly suited for the current moment, A Good House for Children combines an atmospheric mystery with resonant themes of motherhood, madness, and the value of a woman’s work."
I Survived: A True Story.,"A chilling, eye-opening story of marriage and attempted murder, revealing the truth about a case that made headlines around the world.\n\nOn Easter Sunday 2015, experienced skydiver Victoria Cilliers undertook a parachute jump, a gift from her husband, British army sergeant Emile Cilliers. Her parachutes failed to open and she plummeted 4,000 feet to the ground, sustaining life-threatening injuries. Miraculously, she survived. Then the police arrived at her door. Someone had tampered with her parachute and they suspected Emile.\n\nIn I Survived Victoria describes how she fell for Emile, and how the charming man she thought she knew gradually revealed a darker side, chipping away at her self-worth until she found it impossible to sift truth from lies. Can she really believe that her husband – the father of their two young children – tried to kill her? As more shocking revelations come to light, and she has to face his trial and relentless media scrutiny, she struggles to come to terms with the past. Even a guilty verdict does not free her because Emile is not ready to let her go . . .\n\nPowerful and honest, I Survived is the story of a woman who was put through hell and yet found the strength to forge a new life for herself and her children. (less)"
Teenage Mutant Ninja Turtles: The Last Ronin,"Who is the Last Ronin? In a future, battle-ravaged New York City, a lone surviving Turtle embarks on a seemingly hopeless mission seeking justice for the family he lost. From legendary TMNT co-creators Kevin Eastman and Peter Laird, get ready for the final story of the Teenage Mutant Ninja Turtles three decades in the making!\n\nWhat terrible events destroyed his family and left New York a crumbling, post-apocalyptic nightmare? All will be revealed in this climactic Turtle tale that sees longtime friends becoming enemies and new allies emerging in the most unexpected places. Can the surviving Turtle triumph?\n\nEastman and Laird are joined by writer Tom Waltz, who penned the first 100 issues of IDW’s ongoing TMNT series, and artists Esau &amp; Isaac Escorza (Heavy Metal) and Ben Bishop (The Far Side of the Moon) with an Introduction by filmmaker Robert Rodriguez!\n\nCollects the complete five-issue miniseries in a new graphic novel, an adventure as fulfilling for longtime Turtles fans as it is accessible for readers just discovering the heroes in a half-shell."
The Paris Agent,"1970—In the aftermath of his war-ravaged past, Noah Ainsworth is still haunted by memories of his time as a fearless British operative in France. But a critical head injury left Noah with frustrating memory gaps and a burning question that plagues him—who was the agent who saved his life during that tragic final mission?\nDetermined to find answers, Noah\'s daughter Charlotte embarks on a quest from their cozy home in Liverpool, leading her to the incredible lives of two ordinary women—Chloe and Fleur—who transformed into fearless spies on foreign soil. But as Charlotte unravels the heroic exploits of these women and their connection to Noah, she inadvertently stumbles upon evidence of a double agent lurking disturbingly close to home, drawing her into a treacherous web of secrets and unearthing a shocking story from those final days of the war.\nOnce again, Kelly Rimmer takes readers on a gripping journey, one that threads the lives of two remarkable women into the fabric of history, unveiling the power of courage, family and the indelible mark left by the darkest era of human conflict.\n "
Ringmaster: Vince McMahon and the Unmaking of America,"INSTANT NEW YORK TIMES BESTSELLER “Riveting, essential reading.” —Rick Perlstein, author of Reaganland The definitive biography of Vince McMahon, former WWE chairman and CEO, charts his rise from rural poverty to the throne of one of the world’s most influential media empires—and features never-before-seen research and exclusive interviews with more than 150 people who witnessed, aided, and suffered from his ascent.\n\nEven if you’ve never watched a minute of professional wrestling, you are living in Vince McMahon’s world. In his four decades as the defining figure of American pro wrestling, McMahon was the man behind Dwayne “The Rock” Johnson, “Stone Cold” Steve Austin, John Cena, Dave Bautista, Bret “The Hitman” Hart, and Hulk Hogan, to name just a few of the mega-stars who owe him their careers. For more than twenty-five years, he has also been a performer in his own show, acting as the diabolical “Mr. McMahon”—a figure who may have more in common with the real Vince than he would care to admit. Just as importantly, McMahon is one of Donald Trump’s closest friends—and Trump’s experiences as a performer in McMahon’s programming were, in many ways, a dress rehearsal for the 45th President’s campaigns and presidency. McMahon and his wife, Linda, are major Republican donors. Linda was in Trump’s cabinet. McMahon makes deals with the Saudi government worth hundreds of millions of dollars. And for generations of people who have watched wrestling, he has been a defining cultural force. Accessible to anyone, regardless of wrestling knowledge, Ringmaster is an unauthorized, independent, investigative chronicle of Vince McMahon’s origins and rise to supreme power. It is built on exclusive interviews with more than 150 people, from McMahon’s childhood friends to those who accuse him of destroying their lives. Far more than just an athletics or entertainment biography, Ringmaster uses Vince’s story as a new lens for understanding the contemporary American apocalypse."
I Fell in Love with Hope,"Against the unforgiving landscape of a hospital, I fell in love with a mischievous, sun-eyed boy who became my only joy in that desolate place. That’s what made it all the more soul-crushing when he committed suicide in front of me.\n\nSince then, I\'ve sworn never to love anyone again. With three exceptions: My friends, Sony, Neo, and Coeur, a little gang of rebellious, dying kids. Sony leads the charge with the air of freedom and only one lung to breathe it. Neo, a bad-tempered and wheel-chaired writer, keeps track of our great deeds from stealing to terrorizing our nurse. Coeur is the beautiful boy, the muscle, the gentle giant with a failing heart.\n\nBefore death inevitably knocks down our doors, my thieves and I have one last heist planned. A great escape that will take us far from abusive parents, crippling loss, and the realities of our diseases. So what happens when someone else walks through the door? What happens when a girl joins our party and renders me speechless with her mischievous smile? What happens when she has suns in her eyes, and as terrified as I am to lose again, I start to fall?\n\nTrigger warnings found in foreword\n\nWritten By Lancali"
Wrong For You,"Meet Jacob Evans—a broody single dad/mechanic—while he banters with Harper Wilson—a super bubbly dance instructor/bartender determined to move on from the past—on their road to happily ever after.\n\nI used to believe Jacob Evans could be mine.\nThat was before he delivered unforgivable news rather than sweeping me off my feet.\nNot that I can fault his choice.\nHe got the sweetest little girl out of the deal.\n\nI took the heartbreak as a learning experience and moved on for the better.\nJake did the opposite—allowing bitterness to fill the void.\nOnly his daughter can pull him from the broody gloom.\nThose moments are my favorite.\n\nNot that it matters.\nJake isn’t anything to me other than a reminder of what almost was.\n\nBesides, we couldn’t be more wrong for each other.\nI’ve come to accept that.\nBut as it turns out, Jake hasn’t.\n\nA new small town, enemies to lovers standalone romance releasing March 29th, 2023"
Boys in the Valley,"St. Vincent\'s Orphanage for Boys.Turn of the century, in a remote valley in Pennsylvania.Here, under the watchful eyes of several priests, thirty boys work, learn, and worship. Peter Barlow, orphaned as a child by a gruesome murder, has made a new life here. As he approaches adulthood, he has friends, a future... a family.Then, late one stormy night, a group of men arrive at their door, one of whom is badly wounded, occult symbols carved into his flesh. His death releases an ancient evil that spreads like sickness, infecting St. Vincent\'s and the children within. Soon, boys begin acting differently, forming groups. Taking sides.Others turn up dead.Now Peter and those dear to him must choose sides of their own, each of them knowing their lives — and perhaps their eternal souls — are at risk.\n\nThe Exorcist meets Lord of the Flies, by way of Midnight Mass, in Boys in the Valley, a brilliant coming-of-age tale from award-winning author Philip Fracassi."
The Secret Book of Flora Lea,"When a woman discovers a rare book that has connections to her past, long-held secrets about her missing sister and their childhood spent in the English countryside during World War II are revealed.\n\nIn the war-torn London of 1939, fourteen-year-old Hazel and five-year-old Flora are evacuated to a rural village to escape the horrors of the Second World War. Living with the kind Bridie Aberdeen and her teenage son, Harry, in a charming stone cottage along the River Thames, Hazel fills their days with walks and games to distract her young sister, including one that she creates for her sister and her sister alone—a fairy tale about a magical land, a secret place they can escape to that is all their own.\n\nBut the unthinkable happens when young Flora suddenly vanishes while playing near the banks of the river. Shattered, Hazel blames herself for her sister’s disappearance, and she carries that guilt into adulthood as a private burden she feels she deserves.\n\nTwenty years later, Hazel is in London, ready to move on from her job at a cozy rare bookstore to a career at Sotheby’s. With a charming boyfriend and her elegantly timeworn Bloomsbury flat, Hazel’s future seems determined. But her tidy life is turned upside down when she unwraps a package containing an illustrated book called Whisperwood and the River of Stars . Hazel never told a soul about the imaginary world she created just for Flora. Could this book hold the secrets to Flora’s disappearance? Could it be a sign that her beloved sister is still alive after all these years?\n\nAs Hazel embarks on a feverish quest, revisiting long-dormant relationships and bravely opening wounds from her past, her career and future hang in the balance. An astonishing twist ultimately reveals the truth in this transporting and refreshingly original novel about the bond between sisters, the complications of conflicted love, and the enduring magic of storytelling."
Nightmare Island,"From rising star Shakirah Bourne, author of Josephine Against the Sea, comes a mysterious adventure that explores one of the most chilling tales in Caribbean mythology: the faceless douen children.\n\nTwelve year-old Serenity Noah has never told anyone about her recurring nightmares -- the haunting images of silver butterflies whose flapping wings drive away all sound, leaving only suffocating silence in their wake. Her parents already favor her &quot;perfect&quot; younger brother, Peace, and she doesn\'t want to be seen as the &quot;problem&quot; child.\n\nInstead, Serenity\'s found a productive way to channel her fears: creating a horror movie as scary as her nightmares.\n\nWhen Peace suddenly becomes afraid of the dark and refuses to sleep alone, their parents take him away for &quot;treatment&quot; on Duppy Island. Serenity has a very bad feeling about the mysterious island and the facility\'s creepy leader, Dr. Whisper. And when she sees a silver butterfly from her nightmares in the forbidden forest she realizes that something is seriously, dangerously awry.\n\nBut nothing could\'ve prepared Serenity for the truth: the island is home to douens -- faceless children with backward feet who are trapped in limbo between the world of the living and the land of the dead. And unless Serenity acts soon, her brother is going to join their ranks..."
The Devine Doughnut Shop,"Three women are torn between traditions of the past and unexpected new beginnings in a warmhearted novel by Carolyn Brown about family, romance, and the best pastries in Texas. For Grace Dalton, her sister, Sarah, and her cousin Macy, the Devine Doughnut Shop is a sweet family legacy and a landmark in their Texas town. As the fourth generation to run the Double D, they keep their great-grandmother’s recipe secret and uphold the shop’s tradition as a coffee klatch for sharing local gossip, advice, and woes. But drama brews behind the counter, too. Grace is a single mother struggling with an unruly teenage daughter. Heartbroken Sarah has sworn off love. Macy’s impending wedding has an unexpected hitch. And now charming developer Travis Butler has arrived in Devine with a checkbook and a handsome smile. He wants to buy the shop, expand it nationally, and boost the economy of a town divided by the prospect. With the family’s relationships in flux, their beloved heritage up for grabs, and their future in the air, it’s amazing what determination, sass, a promise of romance, and a warm maple doughnut can do to change hearts and minds."
The Half of It: A Memoir,"A memoir from singer-songwriter Madison Beer, chronicling the past decade of her life spent in the spotlight—the ups, the downs, and the in-betweens that you won’t see on social media.\n\nDiscovered at twelve years old, Madison Beer was one of the first artists to have her entire life documented online. Over the past decade, she has navigated the spotlight as a child, through her teenage years, and now as a young woman in her twenties.\n\nIn The Half of It, Madison pulls back the curtain to show the behind-the-scenes of her journey, from reckoning with mass hate online and the time her private pictures were leaked, to battling suicidal thoughts while making her highly acclaimed debut album, Life Support, and her recovery since then. This memoir is an honest and unflinching account of self-love, mental health, and advocacy from one of the fastest-rising musical voices and most influential social media presences of her generation. It hammers home the point, more striking and urgent than ever, that no matter how close the internet may make us feel to people, we truly don’t know the half of it."
